,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,Movie or Show
472,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80,Show
473,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80,Show
474,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,Show
475,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80,Show
476,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,Show
477,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80,Show
478,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80,Show
479,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Show
480,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80,Show
481,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80,Show
482,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80,Show
483,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,Show
484,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Show
485,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Show
486,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80,Show
487,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80,Show
488,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Show
489,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80,Show
490,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80,Show
491,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80,Show
492,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80,Show
493,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80,Show
494,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82.0,80,Show
495,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Show
496,Girlboss,TV-MA,,110,2017,94.0,80,Show
497,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80,Show
498,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80,Show
499,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80,Show
508,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,,82,Show
509,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82,Show
510,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Show
511,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,,82,Show
512,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,Show
513,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80,Show
514,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80,Show
515,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80,Show
516,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82,Show
517,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80,Show
518,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80,Show
519,The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,,82,Show
520,Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,,82,Show
521,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,,82,Show
522,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,Show
523,The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,,82,Show
524,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
525,Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,,82,Show
526,LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,Show
527,Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,,82,Show
528,Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,Show
530,VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,,82,Show
531,Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,,82,Show
532,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80,Show
533,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Show
535,Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82,Show
536,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
537,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
538,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,Show
539,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80,Show
540,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,Show
541,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,Show
545,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82,Show
547,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82,Show
548,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,Show
549,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82,Show
555,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Show
556,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80,Show
557,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80,Show
558,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82,Show
559,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82,Show
560,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80,Show
561,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,,82,Show
562,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,,82,Show
563,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82,Show
564,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,Show
565,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82,Show
566,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80,Show
567,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
568,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80,Show
569,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82,Show
571,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,Show
572,PokÃ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80,Show
574,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,Show
576,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,Show
577,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Show
578,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80,Show
579,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80,Show
580,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Show
582,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82,Show
583,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
584,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
585,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Show
586,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
587,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82,Show
588,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Show
589,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,Show
590,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
591,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80,Show
592,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82,Show
593,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,Show
594,PokÃ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80,Show
595,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
596,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,Show
597,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
615,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Show
616,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80,Show
617,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,Show
618,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80,Show
619,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82,Show
620,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80,Show
621,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80,Show
622,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80,Show
624,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Show
625,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,Show
626,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,Show
627,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82,Show
628,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Show
630,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80,Show
631,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
636,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,Show
643,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82,Show
644,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82,Show
645,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,Show
646,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82,Show
647,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82,Show
648,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82,Show
649,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,Show
665,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Show
666,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,Show
667,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80,Show
669,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,Show
670,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,Show
671,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80,Show
672,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,Show
673,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82,Show
674,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80,Show
675,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80,Show
676,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80,Show
677,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80,Show
679,Larva,TV-G,Suitable for all ages.,35,2015,,82,Show
680,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82,Show
681,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Show
682,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80,Show
683,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,Show
685,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,Show
686,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Show
688,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
690,Word Party,TV-Y,Suitable for all ages.,10,2016,,82,Show
693,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,Show
698,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,Show
699,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,Show
714,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Show
715,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,Show
716,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80,Show
718,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,Show
719,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,Show
720,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80,Show
721,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80,Show
722,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80,Show
723,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82,Show
726,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Show
727,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,Show
729,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,Show
730,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Show
732,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
733,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,Show
735,Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80,Show
746,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,Show
747,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82,Show
749,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Show
759,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80,Show
780,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82,Show
781,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,Show
783,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,Show
784,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,Show
785,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82,Show
786,PopPixie,TV-G,Suitable for all ages.,35,2011,,82,Show
790,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,Show
792,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82,Show
793,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,Show
794,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,Show
797,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82,Show
799,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Show
815,The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82,Show
817,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82,Show
820,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82,Show
821,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82,Show
822,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,Show
823,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82,Show
824,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82,Show
825,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82,Show
826,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82,Show
829,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82,Show
831,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Show
832,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82,Show
833,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,Show
834,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Show
835,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82,Show
837,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82,Show
838,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Show
840,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Show
841,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,Show
842,Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82,Show
843,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,Show
844,Gon,TV-G,Suitable for all ages.,35,2013,,82,Show
845,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82,Show
848,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Show
849,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Show
859,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80,Show
880,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82,Show
881,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,Show
883,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,Show
884,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,Show
885,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82,Show
886,PopPixie,TV-G,Suitable for all ages.,35,2011,,82,Show
890,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,Show
892,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82,Show
893,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,Show
894,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,Show
897,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82,Show
899,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Show
937,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,Show
938,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82,Show
939,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,,82,Show
940,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82,Show
946,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,Show
979,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80,Show
980,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82,Show
982,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82,Show
984,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,Show
985,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,Show
986,PokÃ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80,Show
987,Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82,Show
990,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82,Show
991,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80,Show
992,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,Show
997,Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82,Show
998,Beary Tales,TV-G,Suitable for all ages.,35,2013,,82,Show
